Transaction ID,Transaction Date,Price,Quantity,Revenue,Product,Customer ID
T100002816,2015-01-01,$1081.77,53,$57333.81,Lomina,A100021
T100002817,2015-01-01,$775.75,38,$29478.5,Lomina,A199921
T100002818,2015-01-01,$734.02,36,$26424.72,Lomina,A197721
T100002819,2015-01-01,$632.37,31,$19603.47,Lomina,A141121
T100002820,2015-01-01,$178.69,1,$178.69,Lomina,A198621
T100002821,2015-01-01,$178.69,1,$178.69,Lomina,A157121
T100002822,2015-01-01,$357.38,2,$714.76,Lomina,A163621
T100002823,2015-01-01,$714.76,4,$2859.04,Lomina,A138521
T100002824,2015-01-01,$178.69,1,$178.69,Lomina,A130221
T100002825,2015-01-01,$359.52,16,$5752.32,Lomina,A110721
T100002826,2015-01-01,$202.23,9,$1820.07,Lomina,A164921
T100002827,2015-01-01,$202.23,9,$1820.07,Lomina,A117821
T100002828,2015-01-01,$202.23,9,$1820.07,Lomina,A112321
T100002829,2015-01-01,$516.81,23,$11886.63,Lomina,A107521
T100002830,2015-01-01,$494.34,22,$10875.48,Lomina,A197221
T100002831,2015-01-01,$269.64,12,$3235.68,Lomina,A120521
T100002832,2015-01-01,$247.17,11,$2718.87,Lomina,A155621
T100002833,2015-01-01,$224.7,10,$2247,Lomina,A147921
T100002834,2015-01-01,$224.7,10,$2247,Lomina,A129421
T100002835,2015-01-01,$202.23,9,$1820.07,Lomina,A120221
T100002836,2015-01-01,$202.23,9,$1820.07,Lomina,A197521
T100002837,2015-01-01,$202.23,9,$1820.07,Lomina,A199821
T100002838,2015-01-01,$651.63,29,$18897.27,Lomina,A141121
T100002839,2015-01-01,$775.75,38,$29478.5,Lomina,A196021
T100002840,2015-01-01,$551.05,27,$14878.35,Lomina,A131421
T100002841,2015-01-01,$224.7,10,$2247,Lomina,A119121
T100002842,2015-01-01,$359.52,16,$5752.32,Lomina,A127221
T100002843,2015-01-01,$224.7,10,$2247,Lomina,A131421
T100002844,2015-01-01,$606.69,27,$16380.63,Lomina,A157121
T100002845,2015-01-01,$359.52,16,$5752.32,Lomina,A199921
T100002846,2015-01-01,$381.99,17,$6493.83,Lomina,A123921
T100002847,2015-01-01,$921.27,41,$37772.07,Lomina,A138321
T100002848,2015-01-01,$539.28,24,$12942.72,Lomina,A179321
T100002849,2015-01-01,$561.75,25,$14043.75,Lomina,A130221
T100002850,2015-01-01,$539.28,24,$12942.72,Lomina,A181421
T100002851,2015-01-01,$1280.79,57,$73005.03,Lomina,A198121
T100002852,2015-01-01,$1662.78,74,$123045.72,Lomina,A100021
T100002853,2015-01-01,$3385.48,56,$189586.88,Wedicare,A100021
T100002854,2015-01-01,$2116.46,35,$74076.1,Wedicare,A189621
T100002855,2015-01-01,$6033.73,103,$621474.19,Wedicare,A176121
T100002856,2015-01-01,$7315.59,121,$885186.39,Wedicare,A108821
T100002857,2015-01-01,$2116.46,35,$74076.1,Wedicare,A173121
T100002858,2015-01-01,$2055.47,34,$69885.98,Wedicare,A115521
T100002859,2015-01-01,$587.43,11,$6461.73,Wedicare,A198621
T100002860,2015-01-01,$533.93,10,$5339.3,Wedicare,A105221
T100002861,2015-01-01,$853.86,16,$13661.76,Wedicare,A176121
T100002862,2015-01-01,$694.43,13,$9027.59,Wedicare,A130521
T100002863,2015-01-01,$694.43,13,$9027.59,Wedicare,A138521
T100002864,2015-01-01,$587.43,11,$6461.73,Wedicare,A165421
T100002865,2015-01-01,$428,10,$4280,Wedicare,A198621
T100002866,2015-01-01,$556.4,13,$7233.2,Wedicare,A157121
T100002867,2015-01-01,$342.4,8,$2739.2,Wedicare,A138521
T100002868,2015-01-01,$470.8,11,$5178.8,Wedicare,A132821
T100002869,2015-01-01,$411.95,13,$5355.35,Wedicare,A123421
T100002870,2015-01-01,$348.82,11,$3837.02,Wedicare,A132721
T100002871,2015-01-01,$379.85,12,$4558.2,Wedicare,A163621
T100002872,2015-01-01,$253.59,8,$2028.72,Wedicare,A108821
T100002873,2015-01-01,$348.82,11,$3837.02,Wedicare,A115521
T100002874,2015-01-01,$411.95,13,$5355.35,Wedicare,A188621
T100002875,2015-01-01,$253.59,8,$2028.72,Wedicare,A132021
T100002876,2015-01-01,$759.7,24,$18232.8,Wedicare,A199821
T100002877,2015-01-01,$316.72,10,$3167.2,Wedicare,A141121
T100002878,2015-01-01,$513.6,12,$6163.2,Wedicare,A113521
T100002879,2015-01-01,$5802.61,98,$568655.78,Wedicare,A197521
T100002880,2015-01-01,$9129.24,151,$1378515.24,Wedicare,A164421
T100002881,2015-01-01,$1762.29,33,$58155.57,Wedicare,A197521
T100002882,2015-01-01,$823.9,26,$21421.4,Wedicare,A129421
T100002883,2015-01-01,$1108.52,35,$38798.2,Wedicare,A130221
T100002884,2015-01-01,$3038.8,71,$215754.8,Wedicare,A197521
T100002885,2015-01-01,$1199.47,25,$29986.75,Tridesta,A174821
T100002886,2015-01-01,$3935.46,82,$322707.72,Tridesta,A141121
T100002887,2015-01-01,$768.26,16,$12292.16,Tridesta,A196021
T100002888,2015-01-01,$1823.28,38,$69284.64,Tridesta,A119121
T100002889,2015-01-01,$1440.22,30,$43206.6,Tridesta,A131421
T100002890,2015-01-01,$2111.11,44,$92888.84,Tridesta,A113521
T100002891,2015-01-01,$3791.01,79,$299489.79,Tridesta,A157121
T100002892,2015-01-01,$1823.28,38,$69284.64,Tridesta,A199921
T100002893,2015-01-01,$4943.4,103,$509170.2,Tridesta,A129421
T100002894,2015-01-01,$854.93,1,$854.93,Samtan,A164921
T100002895,2015-01-01,$854.93,1,$854.93,Samtan,A112321
T100002896,2015-01-01,$854.93,1,$854.93,Samtan,A105221
T100002897,2015-01-01,$854.93,1,$854.93,Samtan,A104921
T100002898,2015-01-01,$2564.79,3,$7694.37,Samtan,A197221
T100002899,2015-01-01,$854.93,1,$854.93,Samtan,A198121
T100002900,2015-01-01,$854.93,1,$854.93,Samtan,A199921
T100002901,2015-01-01,$854.93,1,$854.93,Samtan,A174821
T100002902,2015-01-01,$854.93,1,$854.93,Samtan,A147921
T100002903,2015-01-01,$854.93,1,$854.93,Samtan,A129421
T100002904,2015-01-01,$854.93,1,$854.93,Samtan,A121521
T100002905,2015-01-01,$854.93,1,$854.93,Samtan,A173121
T100002906,2015-01-01,$854.93,1,$854.93,Samtan,A122321
T100002907,2015-01-01,$854.93,1,$854.93,Samtan,A140821
T100002908,2015-01-01,$854.93,1,$854.93,Samtan,A132021
T100002909,2015-01-01,$854.93,1,$854.93,Samtan,A141121
T100002910,2015-01-01,$854.93,1,$854.93,Samtan,A130221
T100002911,2015-01-01,$854.93,1,$854.93,Samtan,A181421
T100002912,2015-01-01,$854.93,1,$854.93,Samtan,A190821
T100002913,2015-01-01,$854.93,1,$854.93,Samtan,A119121
T100002914,2015-01-01,$854.93,1,$854.93,Samtan,A111921
T100002915,2015-01-01,$854.93,1,$854.93,Samtan,A181521
T100002916,2015-01-01,$1709.86,2,$3419.72,Samtan,A119021
T100002917,2015-01-01,$1709.86,2,$3419.72,Samtan,A113521
T100002918,2015-01-01,$7694.37,9,$69249.33,Samtan,A189621
T100002919,2015-01-01,$14533.81,17,$247074.77,Samtan,A197521
T100002920,2015-01-01,$4274.65,5,$21373.25,Samtan,A100021
T100002921,2015-01-01,$1709.86,2,$3419.72,Samtan,A120521
T100002922,2015-01-01,$1709.86,2,$3419.72,Samtan,A100321
T100002923,2015-01-01,$1709.86,2,$3419.72,Samtan,A180821
T100002924,2015-01-01,$1709.86,2,$3419.72,Samtan,A138521
T100002925,2015-01-01,$1709.86,2,$3419.72,Samtan,A186921
T100002926,2015-01-01,$1709.86,2,$3419.72,Samtan,A132821
T100002927,2015-01-01,$1709.86,2,$3419.72,Samtan,A117021
T100002928,2015-01-01,$2564.79,3,$7694.37,Samtan,A187221
T100002929,2015-01-01,$2564.79,3,$7694.37,Samtan,A198621
T100002930,2015-01-01,$3419.72,4,$13678.88,Samtan,A107521
T100002931,2015-01-01,$2564.79,3,$7694.37,Samtan,A176121
T100002932,2015-01-01,$3419.72,4,$13678.88,Samtan,A155621
T100002933,2015-01-01,$4274.65,5,$21373.25,Samtan,A199821
T100002934,2015-01-01,$2564.79,3,$7694.37,Samtan,A123521
T100002935,2015-01-01,$7694.37,9,$69249.33,Samtan,A157121
T100002936,2015-01-01,$5984.51,7,$41891.57,Samtan,A130021
T100002937,2015-02-01,$734.02,36,$26424.72,Lomina,A107521
T100002938,2015-02-01,$1019.71,50,$50985.5,Lomina,A100021
T100002939,2015-02-01,$775.75,38,$29478.5,Lomina,A199921
T100002940,2015-02-01,$652.7,32,$20886.4,Lomina,A197721
T100002941,2015-02-01,$693.36,34,$23574.24,Lomina,A197521
T100002942,2015-02-01,$178.69,1,$178.69,Lomina,A198621
T100002943,2015-02-01,$893.45,5,$4467.25,Lomina,A138521
T100002944,2015-02-01,$178.69,1,$178.69,Lomina,A130221
T100002945,2015-02-01,$179.76,8,$1438.08,Lomina,A117821
T100002946,2015-02-01,$247.17,11,$2718.87,Lomina,A112321
T100002947,2015-02-01,$426.93,19,$8111.67,Lomina,A197221
T100002948,2015-02-01,$606.69,27,$16380.63,Lomina,A198121
T100002949,2015-02-01,$269.64,12,$3235.68,Lomina,A199921
T100002950,2015-02-01,$202.23,9,$1820.07,Lomina,A155621
T100002951,2015-02-01,$269.64,12,$3235.68,Lomina,A120221
T100002952,2015-02-01,$224.7,10,$2247,Lomina,A130521
T100002953,2015-02-01,$292.11,13,$3797.43,Lomina,A179321
