Transaction ID,Transaction Date,Price,Quantity,Revenue,Product,Customer ID
T100001608,2014-01-01,$5373.54,34,$23574.24,Lomina,A100021
T100001609,2014-01-01,$4154.54,3,$1608.21,Lomina,A198621
T100001610,2014-01-01,$5539.39,4,$2859.04,Lomina,A199921
T100001611,2014-01-01,$2769.7,2,$714.76,Lomina,A163621
T100001612,2014-01-01,$4154.54,3,$1608.21,Lomina,A108821
T100001613,2014-01-01,$5539.39,4,$2859.04,Lomina,A138521
T100001614,2014-01-01,$2089.71,12,$3235.68,Lomina,A110721
T100001615,2014-01-01,$2089.71,12,$3235.68,Lomina,A117821
T100001616,2014-01-01,$2089.71,12,$3235.68,Lomina,A112321
T100001617,2014-01-01,$3656.99,21,$9909.27,Lomina,A149221
T100001618,2014-01-01,$1741.43,10,$2247,Lomina,A104921
T100001619,2014-01-01,$4353.56,25,$14043.75,Lomina,A107521
T100001620,2014-01-01,$2960.42,17,$6493.83,Lomina,A157121
T100001621,2014-01-01,$2263.85,13,$3797.43,Lomina,A100021
T100001622,2014-01-01,$1915.57,11,$2718.87,Lomina,A120521
T100001623,2014-01-01,$1915.57,11,$2718.87,Lomina,A123921
T100001624,2014-01-01,$4005.28,23,$11886.63,Lomina,A103521
T100001625,2014-01-01,$1567.28,9,$1820.07,Lomina,A155621
T100001626,2014-01-01,$2263.85,13,$3797.43,Lomina,A113321
T100001627,2014-01-01,$4527.71,26,$15189.72,Lomina,A141121
T100001628,2014-01-01,$1915.57,11,$2718.87,Lomina,A130221
T100001629,2014-01-01,$1567.28,9,$1820.07,Lomina,A132821
T100001630,2014-01-01,$1915.57,11,$2718.87,Lomina,A199121
T100001631,2014-01-01,$2769.7,2,$714.76,Lomina,A120521
T100001632,2014-01-01,$6094.99,35,$27525.75,Lomina,A198121
T100001633,2014-01-01,$4005.28,23,$11886.63,Lomina,A147921
T100001634,2014-01-01,$5920.85,34,$25975.32,Lomina,A121521
T100001635,2014-01-01,$6094.99,35,$27525.75,Lomina,A117021
T100001636,2014-01-01,$4353.56,25,$14043.75,Lomina,A181421
T100001637,2014-01-01,$4701.85,27,$16380.63,Lomina,A198621
T100001638,2014-01-01,$6791.56,39,$34176.87,Lomina,A199921
T100001639,2014-01-01,$16916.7,107,$233559.6,Lomina,A196021
T100001640,2014-01-01,$11667.55,67,$100867.83,Lomina,A129421
T100001641,2014-01-01,$30922.73,66,$263341.98,Wedicare,A117821
T100001642,2014-01-01,$62658.13,138,$1115718.96,Wedicare,A136821
T100001643,2014-01-01,$28153.04,62,$225224.3,Wedicare,A199421
T100001644,2014-01-01,$48262.35,103,$641422.2,Wedicare,A141121
T100001645,2014-01-01,$39828.88,85,$436832.85,Wedicare,A164421
T100001646,2014-01-01,$23898.99,51,$157270.74,Wedicare,A132821
T100001647,2014-01-01,$32332.46,69,$287863.17,Wedicare,A165421
T100001648,2014-01-01,$7861.29,19,$19272.84,Wedicare,A174821
T100001649,2014-01-01,$4552.58,11,$6461.73,Wedicare,A113321
T100001650,2014-01-01,$4967.21,12,$7691.16,Wedicare,A123521
T100001651,2014-01-01,$4967.21,12,$7691.16,Wedicare,A165421
T100001652,2014-01-01,$7960.8,24,$24652.8,Wedicare,A149221
T100001653,2014-01-01,$3317,10,$4280,Wedicare,A120221
T100001654,2014-01-01,$3648.7,11,$5178.8,Wedicare,A113321
T100001655,2014-01-01,$3648.7,11,$5178.8,Wedicare,A132821
T100001656,2014-01-01,$2454.58,10,$3167.2,Wedicare,A123421
T100001657,2014-01-01,$2943.84,12,$4558.2,Wedicare,A197221
T100001658,2014-01-01,$3192.61,13,$5355.35,Wedicare,A198121
T100001659,2014-01-01,$2454.58,10,$3167.2,Wedicare,A199921
T100001660,2014-01-01,$2454.58,10,$3167.2,Wedicare,A132721
T100001661,2014-01-01,$2454.58,10,$3167.2,Wedicare,A132021
T100001662,2014-01-01,$5647.19,23,$16759.41,Wedicare,A199821
T100001663,2014-01-01,$4171.13,17,$9149.57,Wedicare,A130221
T100001664,2014-01-01,$3723.33,9,$4323.87,Wedicare,A196021
T100001665,2014-01-01,$11584.62,28,$41854.12,Wedicare,A197521
T100001666,2014-01-01,$418281.99,914,$49330289.18,Wedicare,A123521
T100001667,2014-01-01,$15490.39,43,$85946.68,Tridesta,A104921
T100001668,2014-01-01,$6484.74,18,$15061.32,Tridesta,A120121
T100001669,2014-01-01,$6849.61,19,$16792.58,Tridesta,A199921
T100001670,2014-01-01,$8649.08,24,$26784.24,Tridesta,A129421
T100001671,2014-01-01,$30267.63,84,$328062,Tridesta,A197521
T100001672,2014-01-01,$6484.74,18,$15061.32,Tridesta,A180821
T100001673,2014-01-01,$30624.2,85,$335878.35,Tridesta,A141121
T100001674,2014-01-01,$8284.21,23,$24585.39,Tridesta,A190821
T100001675,2014-01-01,$14412.37,40,$74386.4,Tridesta,A119121
T100001676,2014-01-01,$20897.1,58,$156391.2,Tridesta,A157121
T100001677,2014-01-01,$14412.37,40,$74386.4,Tridesta,A188621
T100001678,2014-01-01,$46122.89,128,$761771.52,Tridesta,A113521
T100001679,2014-01-01,$6625.71,1,$854.93,Samtan,A129421
T100001680,2014-01-01,$6625.71,1,$854.93,Samtan,A176121
T100001681,2014-01-01,$6625.71,1,$854.93,Samtan,A105321
T100001682,2014-01-01,$6625.71,1,$854.93,Samtan,A194621
T100001683,2014-01-01,$72882.78,11,$103446.53,Samtan,A199921
T100001684,2014-01-01,$46379.95,7,$41891.57,Samtan,A197521
T100001685,2014-01-01,$66257.08,10,$85493,Samtan,A130021
T100001686,2014-02-01,$6012.06,38,$29478.5,Lomina,A197721
T100001687,2014-02-01,$6012.06,38,$29478.5,Lomina,A199821
T100001688,2014-02-01,$1384.85,1,$178.69,Lomina,A198621
T100001689,2014-02-01,$5539.39,4,$2859.04,Lomina,A199921
T100001690,2014-02-01,$1384.85,1,$178.69,Lomina,A163621
T100001691,2014-02-01,$6924.24,5,$4467.25,Lomina,A138521
T100001692,2014-02-01,$1393.14,8,$1438.08,Lomina,A117821
T100001693,2014-02-01,$1915.57,11,$2718.87,Lomina,A112321
T100001694,2014-02-01,$3308.71,19,$8111.67,Lomina,A149221
T100001695,2014-02-01,$1915.57,11,$2718.87,Lomina,A104921
T100001696,2014-02-01,$2786.28,16,$5752.32,Lomina,A107521
T100001697,2014-02-01,$1915.57,11,$2718.87,Lomina,A157121
T100001698,2014-02-01,$3482.85,20,$8988,Lomina,A198121
T100001699,2014-02-01,$2263.85,13,$3797.43,Lomina,A100021
T100001700,2014-02-01,$1915.57,11,$2718.87,Lomina,A120521
T100001701,2014-02-01,$1741.43,10,$2247,Lomina,A123921
T100001702,2014-02-01,$1915.57,11,$2718.87,Lomina,A136821
T100001703,2014-02-01,$1741.43,10,$2247,Lomina,A160821
T100001704,2014-02-01,$2786.28,16,$5752.32,Lomina,A138321
T100001705,2014-02-01,$2089.71,12,$3235.68,Lomina,A121521
T100001706,2014-02-01,$2263.85,13,$3797.43,Lomina,A113321
T100001707,2014-02-01,$1567.28,9,$1820.07,Lomina,A100321
T100001708,2014-02-01,$1567.28,9,$1820.07,Lomina,A138521
T100001709,2014-02-01,$1567.28,9,$1820.07,Lomina,A186921
T100001710,2014-02-01,$1393.14,8,$1438.08,Lomina,A190821
T100001711,2014-02-01,$5531.1,35,$24979.15,Lomina,A196021
T100001712,2014-02-01,$5373.54,34,$23574.24,Lomina,A113521
T100001713,2014-02-01,$2089.71,12,$3235.68,Lomina,A119121
T100001714,2014-02-01,$2769.7,2,$714.76,Lomina,A120521
T100001715,2014-02-01,$2960.42,17,$6493.83,Lomina,A198621
T100001716,2014-02-01,$3482.85,20,$8988,Lomina,A110721
T100001717,2014-02-01,$3656.99,21,$9909.27,Lomina,A199921
T100001718,2014-02-01,$4353.56,25,$14043.75,Lomina,A179321
T100001719,2014-02-01,$5398.42,31,$21593.67,Lomina,A117021
T100001720,2014-02-01,$15971.36,101,$208142.82,Lomina,A100021
T100001721,2014-02-01,$8358.84,48,$51770.88,Lomina,A129421
T100001722,2014-02-01,$4527.71,26,$15189.72,Lomina,A130221
T100001723,2014-02-01,$6617.42,38,$32446.68,Lomina,A181421
T100001724,2014-02-01,$36545.05,78,$367808.22,Wedicare,A100021
T100001725,2014-02-01,$29513.01,65,$247528.45,Wedicare,A199921
T100001726,2014-02-01,$45401.44,100,$585825,Wedicare,A136821
T100001727,2014-02-01,$15465.51,33,$65853.15,Wedicare,A197721
T100001728,2014-02-01,$141652.49,312,$5702654.88,Wedicare,A140821
T100001729,2014-02-01,$54349.05,116,$813482.48,Wedicare,A199821
T100001730,2014-02-01,$58569.93,125,$944676.25,Wedicare,A141121
T100001731,2014-02-01,$35608,76,$349188.08,Wedicare,A132821
T100001732,2014-02-01,$30416.89,67,$262958.92,Wedicare,A117021
T100001733,2014-02-01,$3723.33,9,$4323.87,Wedicare,A113321
T100001734,2014-02-01,$3980.4,12,$6163.2,Wedicare,A157121
T100001735,2014-02-01,$3648.7,11,$5178.8,Wedicare,A120221
T100001736,2014-02-01,$4312.1,13,$7233.2,Wedicare,A132821
T100001737,2014-02-01,$2703.36,11,$3837.02,Wedicare,A197221
T100001738,2014-02-01,$2454.58,10,$3167.2,Wedicare,A198121
T100001739,2014-02-01,$2943.84,12,$4558.2,Wedicare,A199921
T100001740,2014-02-01,$2454.58,10,$3167.2,Wedicare,A132721
T100001741,2014-02-01,$4660.39,19,$11425.46,Wedicare,A199821
T100001742,2014-02-01,$4909.16,20,$12668.8,Wedicare,A130221
T100001743,2014-02-01,$46346.78,101,$604003.23,Wedicare,A197521
T100001744,2014-02-01,$9519.79,23,$28252.28,Wedicare,A197521
T100001745,2014-02-01,$7629.1,23,$22641.2,Wedicare,A113321
T100001746,2014-02-01,$167964.59,363,$7867244.55,Wedicare,A123521
T100001747,2014-02-01,$8184.7,22,$23233.98,Tridesta,A120121
T100001748,2014-02-01,$9295.89,25,$29986.75,Tridesta,A129421
T100001749,2014-02-01,$32730.5,88,$371649.52,Tridesta,A197521
T100001750,2014-02-01,$14876.75,40,$76783.2,Tridesta,A180821
T100001751,2014-02-01,$8557.86,23,$25397.52,Tridesta,A196021
T100001752,2014-02-01,$14130.42,38,$69284.64,Tridesta,A119121
T100001753,2014-02-01,$22688.28,61,$178578.72,Tridesta,A113521
T100001754,2014-02-01,$26038.45,70,$235186,Tridesta,A104921
T100001755,2014-02-01,$36072.38,97,$451486.5,Tridesta,A141121
T100001756,2014-02-01,$77360.73,208,$2076262.24,Tridesta,A157121
T100001757,2014-02-01,$6625.71,1,$854.93,Samtan,A197221
T100001758,2014-02-01,$6625.71,1,$854.93,Samtan,A199921
T100001759,2014-02-01,$6625.71,1,$854.93,Samtan,A189621
T100001760,2014-02-01,$6625.71,1,$854.93,Samtan,A176121
T100001761,2014-02-01,$6625.71,1,$854.93,Samtan,A160021
T100001762,2014-02-01,$6625.71,1,$854.93,Samtan,A181421
T100001763,2014-02-01,$6625.71,1,$854.93,Samtan,A113521
T100001764,2014-02-01,$13251.42,2,$3419.72,Samtan,A194621
T100001765,2014-02-01,$132514.15,20,$341972,Samtan,A197521
T100001766,2014-02-01,$13251.42,2,$3419.72,Samtan,A129421
